Key,Value,Element,Group,Description,Count
building,commercial,area,,"A building for non-specific commercial activities, not necessarily an office building. Consider tagging the surrounding area using landuse=commercial if there is such use. Use 'retail' if the building consists primarily of shops.",152 0 81016 0
building,industrial,area,,A building for industrial purposes. Use warehouse if the purpose is known to be primarily for storage/distribution. Consider using landuse=industrial for the surrounding area and appropriate tags like man_made=works to describe the industrial activity.,165 0 103694 0
building,kiosk,area,,A small one-room retail building.,11 0 619 0
building,office,area,,An office building. Use office=* where applicable for the business(es) that use the building. Consider tagging the surrounding area using landuse=commercial if it applies. Prefer 'retail' if the building consists primarily of shops.,197 3 16615 0
building,retail,area,,"A building primarily used for selling goods that are sold to the public- use shop=* to identify the sort of goods sold or an appropriate amenity=* (pub, cafe, restaurant, etc.). Consider use landuse=retail for the surrounding area.",52 0 28784 0
building,supermarket,area,,A building constructed to house a self-service large-area store.,1 0 2016 0
building,warehouse,area,,A building primarily intended for the storage or goods or as part of a distribution system.,42 0 10929 0
building,cathedral,area,public_building,"A building that was built as a cathedral. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the cathedral grounds where it is in current use.",1 0 67 0
building,chapel,area,public_building,"A building that was built as a chapel. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the chapel grounds where it is in current use.",1078 1 13074 0
building,church,area,public_building,"A building that was built as a church. Used in conjunction with amenity=place_of_worship, religion=* , denomination=* and landuse=religious for the church grounds where it is in current use.",109 1 30664 0
building,monastery,area,,"A building constructed as *Wikipedia-16px monastery*. Often, monasteries are consisting of several distinct buildings with specific functions. For active monasteries (communities), use amenity=monastery, for the grounds of a former monastery, have a look at historic=monastery",4 0 147 0
building,mosque,area,public_building,"A building errected as mosque. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",3 0 255 0
building,presbytery,area,,A building where priests live and work.,0 0 0 0
building,religious,area,public_building,Unspecific building related to religion. Prefer more specific values if possible.,1 0 195 0
building,shrine,area,,"A building that was built as a shrine. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use. Small buildings should consider historic=wayside_shrine.",8 0 31 0
building,synagogue,area,public_building,"A building that was built as a synagogue. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",2 0 83 0
building,temple,area,public_building,"A building that was built as a temple. Used in conjunction with amenity=place_of_worship, religion=*, denomination=* and landuse=religious for the grounds where it is in current use.",3 0 58 0
building,bakehouse,area,,A building that was built as a bakehouse (i.e. for baking bread). Often used in conjunction with another node amenity=baking_oven and oven=wood_fired.,5 0 93 0
building,civic,area,public_building,"A generic tag for a building created to house some civic amenity, for example amenity=community_centre, amenity=library, amenity=toilets, leisure=sports_centre, leisure=swimming_pool, amenity=townhall etc. Use amenity=* or leisure=* etc. to provide further details. See building=public and more specific tags like building=library as well.",12 0 7724 0
building,fire_station,area,,"A building constructed as fire station, i.e. to house fire fighting equipment and officers, regardless of current use. Add amenity=fire_station on the grounds for an active fire station.",1 0 1186 0
building,government,area,public_building,"For government buildings in general, including municipal, provincial and divisional secretaries, government agencies and departments, town halls, (regional) parliaments and court houses.",0 0 1115 0
building,hospital,area,medical_building,A building errected for a hospital. Use amenity=hospital for the hospital grounds.,36 1 7037 0
building,public,area,public_building,"A building constructed as accessible to the general public (a town hall, police station, court house, etc.).",349 0 11965 0
building,toilets,area,public_building,A toilet block.,3 0 623 0
building,train_station,area,public_building,"A building constructed to be a train station building, including buildings that are abandoned and used nowadays for a different purpose.",6 0 2829 0
building,transportation,area,public_building,"A building related to public transport. You will probably want to tag it with proper transport related tag as well, such as public_transport=station. Note that there is a special tag for train station buildings - building=train_station.",3 1 998 0
building,kindergarten,area,educational,"For any generic kindergarten buildings. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a kindergarten in the building, use amenity=kindergarten on the perimeter of the kindergarten grounds.",11 0 9744 0
building,school,area,educational,"A building errected as school. Buildings for specific uses (sports halls etc.) should be tagged for their purpose. If there is currently a school, use amenity=school on the perimeter of the school grounds.",83 1 39590 0
building,university,area,educational,A university building. Use amenity=university for the university as an institution.,41 0 6772 0
building,college,area,educational,A college building. Use amenity=college on the whole college area to represent the college as an institution.,4 0 588 0
building,barn,area,agricultural,An agricultural building used for storage and as a covered workplace.,30 0 47222 0
building,conservatory,area,public_building,A building or room having glass or tarpaulin roofing and walls used as an indoor garden or a sunroom (winter garden).,0 0 238 0
building,cowshed,area,,"A cowshed (cow barn, cow house) is a building for housing cows, usually found on farms.",0 0 1495 0
building,farm_auxiliary,area,agricultural,A building on a farm that is not a dwelling (use 'farm' or 'house' for the farm house).,9 1 56662 0
building,greenhouse,area,agricultural,A greenhouse is a glass or plastic covered building used to grow plants. Use landuse=greenhouse_horticulture for an area containing multiple greenhouses,13 0 30556 0
building,slurry_tank,area,,A circular building built to hold a liquid mix of primarily animal excreta (also known as slurry).,19 0 2803 0
building,stable,area,agricultural,A stable is a building where horses are kept.,24 0 9259 0
